RMSE,MAE,NSE,R2,KGE,MSE,hyperparameter,hypervalue,mission,set_type
0.381028592379327,0.2826730130700388,0.5552768883406664,0.5552768883406664,0.5254142989828532,0.14518278821057135,max_samples,0.1,l30,train
0.4283385260540734,0.3153144828908315,0.4373462679124692,0.4373462679124692,0.437968517905441,0.1834738929021761,max_samples,0.1,l30,val
0.37486070153482565,0.2815554543827519,0.5605623275765912,0.5605623275765912,0.5216026115570402,0.14052054555518162,max_samples,0.1,l30,train
0.446061399262712,0.3189868482961396,0.4367202395241011,0.4367202395241011,0.42782146461389103,0.19897077191220858,max_samples,0.1,l30,val
0.3830734624720078,0.28381265392102323,0.5538767963995549,0.5538767963995549,0.5205843168608937,0.14674527765029277,max_samples,0.1,l30,train
0.4104373924507518,0.3029150413889865,0.46803546896962367,0.46803546896962367,0.4704008141805005,0.16845885312177244,max_samples,0.1,l30,val
0.38600495938795176,0.286139198045918,0.5484760122551675,0.5484760122551675,0.5134907468815695,0.1489998286720943,max_samples,0.1,l30,train
0.39979682086336155,0.3013204312067463,0.48761170961140154,0.48761170961140154,0.4939631288535995,0.1598374979724508,max_samples,0.1,l30,val
0.38261825172167013,0.2824788620683521,0.5526100504994091,0.5526100504994091,0.5160564928919648,0.14639672655054733,max_samples,0.1,l30,train
0.4120800983296562,0.3165530222696164,0.4751279534796474,0.4751279534796474,0.49460215031001864,0.16981000743937913,max_samples,0.1,l30,val
0.37798672447348597,0.2807472991166934,0.5556816059209289,0.5556816059209289,0.5168311656472979,0.142873963878195,max_samples,0.1,l30,train
0.43501457552999706,0.32352488829972,0.4530977906323458,0.4530977906323458,0.44162068929908294,0.1892376809235435,max_samples,0.1,l30,val
0.3841919385516412,0.2853659310264429,0.5508466344057763,0.5508466344057763,0.5160399932836095,0.14760344564806804,max_samples,0.1,l30,train
0.4131141995956541,0.3063745213650579,0.46253847546945515,0.46253847546945515,0.4651627459202423,0.17066334190755791,max_samples,0.1,l30,val
0.38089557170784666,0.28320510782293346,0.5575472432999367,0.5575472432999367,0.5169436355881059,0.14508143654664737,max_samples,0.1,l30,train
0.41878616175830957,0.3076044584123523,0.45331063615788747,0.45331063615788747,0.4488109575457543,0.17538184928025705,max_samples,0.1,l30,val
0.38537329363823997,0.2861407597270685,0.5504481193396065,0.5504481193396065,0.5212914075389758,0.14851257544958513,max_samples,0.1,l30,train
0.4095479906960492,0.30870077621577957,0.4603460792581475,0.4603460792581475,0.4737158524250369,0.16772955668317122,max_samples,0.1,l30,val
0.3792220086775783,0.2813059660618701,0.5560437676160692,0.5560437676160692,0.5134068775028482,0.1438093318654573,max_samples,0.1,l30,train
0.4200370100901912,0.31168122006152066,0.4750793397442509,0.4750793397442509,0.4793316028567818,0.17643108984550737,max_samples,0.1,l30,val
0.37804644152177,0.28081395563091405,0.5609207528863541,0.5609207528863541,0.5259449828691358,0.14291911194727308,max_samples,0.1,l30,train
0.4362662798579472,0.3219106449883237,0.4239965136960916,0.4239965136960916,0.4201561009269499,0.1903282669410927,max_samples,0.1,l30,val
0.3818626303713654,0.28453963544242017,0.5558084795603767,0.5558084795603767,0.5152048785562237,0.14581906847413803,max_samples,0.1,l30,train
0.421277211638954,0.30757945613341564,0.4441750295044711,0.4441750295044711,0.4469710562032412,0.17747448904629204,max_samples,0.1,l30,val
0.3843585292705263,0.2835106576978003,0.5488039030755791,0.5488039030755791,0.515322730989585,0.14773147902300202,max_samples,0.1,l30,train
